tipo,zona,dormitorios,duchas,garajes,m2,precio
Casas,Norte,3,2,2,155,95000
Casas,Oeste,3,3,3,157,105000
Casas,Norte,4,3,3,163,190000
Casas,Norte,3,3,0,365,480000
Casas,Oeste,3,3,1,280,150000
Casas,Este,5,3,3,300,220000
Casas,Norte,3,3,2,220,155000
Casas,Oeste,3,3,2,160,85000
Departamentos,Sur,3,3,2,160,170000
Casas,Sur,5,3,0,285,155000
Casas,Norte,3,3,0,191,140000
Casas,Norte,4,2,2,170,105900
Casas,Norte,4,3,3,418,185000
Casas,Norte,3,3,2,175,145000
Casas,Norte,3,3,2,193,155000
Casas,Este,4,3,0,220,160000
Departamentos,Centro,3,3,1,198,128000
Casas,Sur,3,2,1,249,165000
Casas,Este,3,2,2,238,215000
Casas,Urubo,3,3,3,392,310000
Casas,Oeste,3,3,2,180,125000
Departamentos,Norte,3,3,0,155,150000
Casas,Norte,4,3,2,285,230000
Departamentos,Sur,3,3,1,166,140000
Casas,Oeste,4,3,2,335,170000
Casas,Norte,3,3,2,270,165000
Departamentos,Norte,2,2,1,250,200000
Casas,Norte,3,3,3,197,140000
Casas,Sur,3,3,2,175,150000
Casas,Urubo,3,3,3,250,185000
Casas,Norte,4,3,2,165,97900
Casas,Este,4,3,3,550,375000
Casas,Norte,3,3,2,400,350000
Casas,Norte,3,3,2,185,138000
Casas,Norte,4,3,3,338,290000
Casas,Oeste,5,3,0,170,130000
Casas,Norte,5,3,3,295,165000
Casas,Sur,4,3,2,270,155000
Departamentos,Norte,2,3,0,230,295000
Casas,Sur,5,3,0,282,115000
Casas,Oeste,3,3,2,384,210000
Casas,Norte,4,3,2,250,240000
Casas,Centro,5,3,2,300,350000
Casas,Norte,3,3,2,162,135000
Casas,Norte,3,3,2,161,135000
Casas,Urubo,3,2,2,250,245000
Casas,Norte,3,3,3,529,370000
Casas,Norte,4,3,2,400,330000
Casas,Norte,3,3,2,368,248000
Casas,Este,5,1,1,300,218000
Casas,Norte,3,2,1,280,81000
Casas,Norte,3,2,2,236,92000
Casas,Este,5,3,0,350,280000
Departamentos,Centro,1,1,3,158,51500
Casas,Norte,4,3,0,220,145000
Casas,Norte,5,3,0,257,195000
Casas,Norte,3,2,2,185,105000
Departamentos,Sur,3,3,1,199,225000
Departamentos,Norte,3,3,2,250,390000
Casas,Norte,4,3,3,200,120000
Casas,Norte,5,3,3,499,250000
